ques_1_1,ques_1_2,ques_1_3,ques_1_4,ques_1_5,ques_1_6,ques_1_7,ques_1_8,ques_1_9,ques_1_10,ques_1_11,ques_1_12,ques_1_13,ques_1_14,ques_1_15,ques_1_16,ques_1_17,ques_1_18,ques_1_19,ques_1_20,ques_1_21,ques_1_22,ques_1_23,ques_1_24,ques_1_25,ques_1_26,ques_1_27,ques_1_28,ques_1_29,ques_1_30,ques_1_31,ques_1_32,id,interview,school,class,studentid,classind,classsize,idt,st_V8,sch_score_68_3,sch_score_68_8,sch_score_68_13,sch_gpa_68,sch_score_70_3,sch_score_70_8,sch_score_70_13,sch_gpa_10,age,iq,edu_father,edu_mother,empmot,int_index,int_5q,intdum1,intdum2,intdum3,intdum4,intdum5,intdum6,iq_d1,iq_d2,iq_d3,iq_d4,iq_d5,iq_d6,edu_fatherd1,edu_fatherd2,edu_fatherd3,edu_fatherd4,edu_fatherdm,edu_motherd1,edu_motherd2,edu_motherd3,edu_motherd4,edu_motherdm,prestige,fem,_merge
5,8,15,19,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,102135,1,2,1,35,2,35,2135,neusprachlich,4,3,3,3.090909,4,3,3,3,15,27,2,1,2,11,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,42,1,3
2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103101,1,3,1,1,3,23,3101,neusprachlich,3,4,5,3.1818182,,,,,16,42,10,9,2,10,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,62,0,3
1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103102,1,3,1,2,3,23,3102,neusprachlich,4,4,5,3.5454545,4,3,3,3.4166667,16,43,2,1,1,17,5,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,31,0,3
1,4,7,9,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,103103,1,3,1,3,3,23,3103,neusprachlich,4,3,4,3.5454545,4,4,4,4,15,42,3,2,2,15,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,42,0,3
1,2,3,6,7,10,12,13,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,,,103104,1,3,1,4,3,23,3104,neusprachlich,,,,,3,3,2,3.1666667,15,42,13,12,3,14,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,79,0,3
4,7,15,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,103105,1,3,1,5,3,23,3105,neusprachlich,4,3,3,3.090909,4,4,4,3.75,15,29,13,13,2,16,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,73,1,3
10,13,15,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,103106,1,3,1,6,3,23,3106,neusprachlich,3,2,2,2.090909,3,2,3,2.25,14,24,10,10,2,14,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,62,1,3
15,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103107,1,3,1,7,3,23,3107,neusprachlich,3,2,4,3.1818182,3,2,4,3.1818182,15,43,6,2,3,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,73,1,3
9,12,15,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,103108,1,3,1,8,3,23,3108,neusprachlich,,,,,4,4,5,3.4545455,16,26,13,11,3,12,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,54,0,3
3,8,11,12,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,103109,1,3,1,9,3,23,3109,neusprachlich,4,4,5,3.909091,3,4,4,3.5,15,42,2,2,2,15,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,62,0,3
4,6,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103110,1,3,1,10,3,23,3110,neusprachlich,3,4,3,3,3,4,2,3,15,52,13,12,1,13,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,69,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103111,1,3,1,11,3,23,3111,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,1,3
8,9,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103112,1,3,1,12,3,23,3112,neusprachlich,4,4,4,3.7272727,4,5,3,3.8333333,16,39,10,10,2,14,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,73,0,3
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103113,1,3,1,13,3,23,3113,neusprachlich,3,4,4,3.4000001,4,3,3,2.9166667,15,44,12,9,2,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,73,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103114,1,3,1,14,3,23,3114,neusprachlich,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,1,3
4,5,6,7,10,17,19,21,22,23,,,,,,,,,,,,,,,,,,,,,,,103115,1,3,1,15,3,23,3115,neusprachlich,3,4,4,3.2727273,4,2,4,3.4545455,15,36,10,7,2,14,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,73,1,3
1,13,15,19,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,103116,1,3,1,16,3,23,3116,neusprachlich,,,,,4,2,3,3.3333333,16,44,10,6,3,15,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,73,0,3
